number,name,boolean,source,enabled
169,CVE-2021-40444,(winword AND inetcache AND .cab),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/win_file_winword_cve_2021_40444.yml,1
170,CVE-2021-40444,(temp AND .inf),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/win_file_winword_cve_2021_40444.yml,1
171,TXT file creation desktop,(users AND desktop AND txt),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/win_fe_susp_desktop_txt.yml,1
172,C sharp complie artifact,(.cmdline),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/win_fe_csharp_compile_artefact.yml,1
173,Shim Database,(custom AND .sdb),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/win_fe_creation_new_shim_database.yml,1
174,Unattend XML,(unattend.xml),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/win_fe_access_susp_unattend_xml.yml,1
175,WMI Srpict Event Persistence,(scrcons.exe),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_wmi_persistence_script_event_consumer_write.yml,1
176,UAC Bypass Using NTFS Reparse Point,(api-ms-win-core-kernel32-legacy-l1.DLL),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_uac_bypass_ntfs_reparse_point.yml,1
177,UAC Bypass - Ieinstal,(ieinstal AND temp AND consent),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_uac_bypass_ieinstal.yml,1
178,UAC Bypass - .net code profiler,(users AND pe396),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_uac_bypass_dotnet_profiler.yml,1
179,UAC bypass -consent ,(consent AND comctl32),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_uac_bypass_consent_comctl32.yml,1
180,DRP session Hijacking,(programs AND startup AND mstsc.exe),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_tsclient_filewrite_startup.yml,1
181,profile.ps1 Modification,(profile.ps1),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_suspicious_powershell_profile_create.yml,1
182,PROCexp152.sys,(procexp152.sys AND temp),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_susp_procexplorer_driver_created_in_tmp_folder.yml,1
183,PFX file creation,(.pfx),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_susp_pfx_file_creation.yml,1
184,Desktop.ini,"(desktop.ii NOT C:\Windows OR ""C:\Program Files"")",https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_susp_desktop_ini.yml,1
185,CLR log creation,(CLR AND usagelogs AND (mshta OR cscript OR wscript OR regsvr32 OR wmic OR rundll32 OR svchost)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_susp_clr_logs.yml,1
186,ADSI-Usage,(.sch AND schcache (NOT svchost NOT dllhost NOT mmc.exe NOT powershell NOT ccmexec NOT cylance)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_susp_adsi_cache_usage.yml,1
187,Startup Folder Write,(start AND menu AND programs AND startup),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_startup_folder_file_write.yml,1
188,Recmimicry,(tmp AND .bat AND .dll),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_redmimicry_winnti_filedrop.yml,1
189,quarksPwDump,(temp AND SAM AND .dmp),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_quarkspw_filedump.yml,1
190,Powershell Writing Startup Shortcuts,(poweshell AND startup AND .lnk),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_powershell_startup_shortcuts.yml,1
191,Malciious powershell cmdlets,(.ps1 AND (invoke-dllinjection OR invoke-wmicommand OR get-gppassword OR get-keystrike OR get-vaultcredential OR invoke-credential OR -ninjacopy OR tokenmanipulation OR minidump OR shadowcopytools OR reflectiveprinjection OR timedscreeshot OR userhunter OR gpolocation OR aclscanner OR downgradeaccount OR serviceunqquoted OR servicefilepermission OR servicepermission OR serviceabuse OR servicebiany OR regautologon OR vulnautorun OR vulnschtask OR unattendedinstallfile OR webconfig OR applicationhost OR regalwaysinstallelevated OR unconstrained OR regbackdoor OR scrnsavebackdoor OR backdoor OR duplicatetoken OR psuacme OR remove-update OR check-vm OR lsasecret OR passhashes OR targetscreen OR port-scan OR poshrathttp OR powershelltcp OR powershellwmi OR exfiltration OR persistence OR captureserver OR shellcode OR chromedump OR clipboardcontents OR foxdump OR indexteditem OR screenshot OR inveigh OR netripper OR egresscheck OR postexfil OR psinject OR runas OR mailraider OR honeyhash OR macattribute OR dssync OR powerdump OR jboss OR thunderstruck OR voicetroll OR wallpaper OR psexec OR sshcommand OR securitypackages OR install-ssp OR backdoorlnk OR powerbreach OR sitelistpassword OR bypassuac OR tater OR wscriptbypassUAC OR powerup OR powerview OR rickastley OR find-fruit OR http-login trusteddocuments OR paranoia OR winenum OR arpscan portscan OR reversednslookup OR smbscanner OR mimikittenz)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_powershell_exploit_scripts.yml,1
192,PCRE Package Temp Files,(ba9ea7344a4a5f591d6e5dc32a13494b),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_pcre_net_temp_file.yml,1
193,Outlook Form Installation,(outlook AND appdata AND forms),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_outlook_newform.yml,1
194,Microsoft Office Add-In loading,((startup AND (word OR excel OR powerpnt) AND (.wll OR .xll))),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_office_persistence.yml,1
195,Microsoft Addons Add-In loading,(microsoft AND addins AND (.xlam OR .xla)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_office_persistence.yml,1
196,SafetyKatz,(temp AND dubug.bin),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_ghostpack_safetykatz.yml,1
197,Powershell and .bat,(powershell AND .bat),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_detect_powerup_dllhijacking.yml,1
198,CVE-2021-26858,(umworkerprocess.exe NOT cleanup.bin NOT .txt NOT .log NOT .cfg),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_cve_2021_26858_msexchange.yml,1
199,File created w/ sytsem process name,"(svchost OR rundll32 OR services OR powershell OR regsvr32 OR spoolsv OR lsass OR smss OR csrss OR conhost OR wininit OR lsm OR winlogon OR explorer.exe OR taskhost OR task,gr OR sihost OR runtimebroker OR smartscreen OR dllhost OR audiodg NOT system32 NOT syswow64 NOT winsxs NOT dism NOT setuphost)",https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/sysmon_creation_system_file.yml,1
200,pingback backdoor,(updata AND oci.dll),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_pingback_backdoor.yml,1
201,Moriya Rootkit,(MoriyaStreamWatchmen.sys),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_moriya_rootkit.yml,1
202,CVE 2021 31979,(physmem.sys OR imjpueact OR imtcprot OR imecpmeid OR pac.dat OR tuptask.dat OR startwus.dat OR wimbootconfiguations.ini),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/file_event/file_event_cve_2021_31979_cve_2021_33771_exploits.yml,1
203,AD Privileged Users or Groups Reconnaissance,((SAM_USER OR SAM_GROUP) AND (512 OR 502 OR 500 OR 505 OR 519 OR 520 OR 544 OR551 OR 555)),https://github.com/SigmaHQ/sigma/blob/eb382c4a59b6d87e186ee269805fe2db2acf250e/rules/windows/builtin/security/win_account_discovery.yml,1
204,Decoding base64,(powershell AND frombase64string),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
205,Weird poweshell enable feature,(Enable-WindowsOptionalFeature),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
206,WMIC shadowcopy edits,(wmic AND (shadowcopy OR UUID OR delete)),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
207,WMIC process rmeote edits,(wmic AND process AND node),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
208,Schtasks start schedule,(schtasks AND start),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
209,schtasks out of temp,(schtasks AND (temp OR tmp)),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
210,hide files,(attrib AND +h),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
211,runonce executables,(runonce AND .exe),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
212,enumeration for admin groups,(net AND (group OR localgroup) AND admin),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
213,mshta out of public files,(mshta AND public),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
214,regedit single,(regedit AND -single),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
215,New firewall rule,(netsh AND new AND enable AND yes),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
216,firewall allow program,(netsh AND allowedprogram),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
217,WMI shadowcopy usage,(shadowcopy AND wmi),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
218,Uninstalling windows Defende,(uninstall-windowsfeature AND defender),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
219,Disabling logging with realtimemonitoring,(disablerealtimemonitoring),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
220,disabling anti spyware,(disableantispyware),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
221,disable behavioral monitoring,(DisableBehaviorMonitoring),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
222,,(disableantivirus),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
223,,(DisableIOAVProtection),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
224,,(DisableOnAccessProtection),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
225,,(reg AND defender),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
226,,(reg AND CurrentControlSet),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
227,,(DefenderApiLogger),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
228,,(ContextMenuHandlers),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
229,,(-ExclusionExtension),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
230,,(disable AND defender),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
231,,(MpCmdRun AND remove),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
232,,(schtasks AND defender),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
233,,((temp OR tmp)AND bat),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
234,,(conf AND log),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
235,,(ping AND nul AND del),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
236,,(cmd and (token OR tokens)),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
237,,(wevtutil AND cl),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
238,,(lsass AND proc),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
239,,(comsvcs.dll),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
240,,(dsquery AND subnet),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
241,,(test AND dclist),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
242,,(quser),https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/quser,1
243,,(net AND view AND (all OR domain)),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
244,,(takeown),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
245,,"(mstsc AND ""$"")",https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
246,,(Enable-NetFirewallRule),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
247,,(set-itemproperty AND (HKLM OR HKCU)),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
248,,(msiexec AND (http: OR https:)),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
249,,(resize AND shadow),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
250,,"(net AND stop AND ""/y"")",https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
251,,(sc AND config AND disabled),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
252,,(iisreset),https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2022/06/23093553/Common-TTPs-of-the-modern-ransomware_low-res.pdf,1
253,,(wmic AND (node OR netlogin) AND get),Red Team Hand Book,1
254,,(wmic AND call),Red Team Hand Book,1
255,,"(debugger AND ""Image File Execution"")",https://blog.malwarebytes.com/101/2015/12/an-introduction-to-image-file-execution-options/,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
,,,,1
